year,remittance_usd,exchange_rate_npr_usd,inflation_pct
2000,111498192.002855,71.0937958333333,2.47882020709136
2001,146985151.867356,74.94925,2.6883037354563
2002,678485891.975507,77.8766191666667,3.02939948714892
2003,771072126.453045,76.1414475,5.70700931874738
2004,822608955.211295,73.6735966666667,2.8418113124898
2005,1211823252.50637,71.3675,6.83633265892877
2006,1453231426.19465,72.7556058333333,6.92033580707589
2007,1733858518.1027,66.4150275,2.26921924439074
2008,2727140487.27791,69.761695,9.9078300530648
2009,2983336877.15601,77.5734307390156,11.0948237386987
2010,3464092681.92056,73.2623590158046,9.32650410745395
2011,4216894009.62724,74.02,9.2270754612596
2012,4792506200.0437,85.2257559923835,9.45980980357125
2013,5583702127.817,93.0843938075485,9.04016311917645
2014,5888650154.82927,97.5548421567946,8.36415469659563
2015,6729935670.59215,102.405134331356,7.86890895590891
2016,6611838543.93662,107.383815174654,8.7903433200464
2017,6928133767.08804,104.511885242862,2.77703998300211
2018,8286629516.1521,108.930134109273,4.40659410175714
2019,8244465869.48491,112.609482758621,5.56616035243723
2020,8107744661.5632,118.345187275986,5.05635826238499
2021,8225960574.66119,118.134081604947,4.12676744440695
2022,9411659366.20949,125.199457792609,7.6702057938028
2023,10764412527.5866,132.115460088756,7.11587261530826
2024,11254463372.2778,133.726644315443,4.6850965426577
